subject,session,meditation,band,pre_rel,post_rel,delta_pp
rt,1_rt_lkm,LKM,alpha,9.084017496862757,9.283631514111798,0.1996140172490417
rt,1_rt_lkm,LKM,beta,36.31160065884683,31.728301746637023,-4.583298912209806
rt,1_rt_lkm,LKM,gamma,6.5713719863902105,5.227867831742763,-1.343504154647447
rt,2_rt_fam,FAM,delta,28.034641468855327,39.3500618418334,11.315420372978075
rt,2_rt_fam,FAM,theta,8.949568094093026,9.539587008359575,0.5900189142665493
rt,2_rt_fam,FAM,alpha,6.163989365071705,5.0373095455086325,-1.1266798195630727
rt,2_rt_fam,FAM,beta,48.49403792479411,38.37266302632478,-10.121374898469327
rt,2_rt_fam,FAM,gamma,6.9574092649297725,6.112521013826444,-0.8448882511033284
rt,3_rt_om,OM,delta,30.702481233421683,37.148783230031576,6.446301996609893
rt,3_rt_om,OM,theta,7.404026350708904,8.49855108319209,1.0945247324831868
rt,3_rt_om,OM,alpha,4.822062911221281,5.330079785360973,0.5080168741396918
rt,3_rt_om,OM,beta,46.93756896506158,39.3976510001275,-7.539917964934077
rt,3_rt_om,OM,gamma,9.069368153076224,8.456642340612333,-0.612725812463891
rt,4_rt_mm,MM,delta,32.52642640730731,28.80325657028619,-3.7231698370211213
rt,4_rt_mm,MM,theta,7.2799386610452395,9.229574158119672,1.949635497074432
rt,4_rt_mm,MM,alpha,4.719432934035442,5.795220485694448,1.0757875516590056
rt,4_rt_mm,MM,beta,45.22838003603864,45.98223599412601,0.7538559580873709
rt,4_rt_mm,MM,gamma,8.731492345672516,8.571607429164635,-0.15988491650788106
rt,5_rt_bsm,BSM,delta,15.887790788247905,38.993763472908235,23.10597268466033
rt,5_rt_bsm,BSM,theta,17.945604370189344,9.028165761367674,-8.91743860882167
rt,5_rt_bsm,BSM,alpha,6.362617317534193,5.420464963251649,-0.9421523542825438
rt,5_rt_bsm,BSM,beta,49.52057557277366,38.043444176975356,-11.477131395798303
rt,5_rt_bsm,BSM,gamma,8.707005463634694,7.668217833798827,-1.0387876298358671
sk,2_sk_mm,MM,delta,16.47449504985437,26.542772164624772,10.068277114770403
sk,2_sk_mm,MM,theta,9.68653572151269,7.9112907830063826,-1.775244938506308
sk,2_sk_mm,MM,alpha,9.743455829846091,7.050709731823629,-2.6927460980224627
sk,2_sk_mm,MM,beta,36.21617727601158,37.53373229985803,1.3175550238464524
sk,2_sk_mm,MM,gamma,24.917560836626876,18.83261572712508,-6.0849451095017955
sk,3_sk_lkm,LKM,delta,20.079690604461096,22.550695996701464,2.471005392240368
sk,3_sk_lkm,LKM,theta,6.661411073092655,9.42055713516345,2.759146062070796
sk,3_sk_lkm,LKM,alpha,5.809638911863834,7.582827593997712,1.7731886821338785
sk,3_sk_lkm,LKM,beta,37.5676372058235,34.142190033111106,-3.4254471727123956
sk,3_sk_lkm,LKM,gamma,28.736764586400987,24.111967323032697,-4.62479726336829
sk,4_sk_fam,FAM,delta,26.67687358964561,49.19519559864161,22.518322008996
sk,4_sk_fam,FAM,theta,9.089747641006113,9.717581967505964,0.6278343264998512
sk,4_sk_fam,FAM,alpha,6.899342962510977,5.282700474055302,-1.6166424884556747
sk,4_sk_fam,FAM,beta,35.15194804494708,22.086546968876082,-13.065401076071002
sk,4_sk_fam,FAM,gamma,20.067104380878508,11.633922880591067,-8.433181500287441
sk,5_sk_om,OM,delta,30.763915925709412,16.497703708660705,-14.266212217048707
sk,5_sk_om,OM,theta,6.525483550886262,7.987256018788566,1.4617724679023034
sk,5_sk_om,OM,alpha,7.637368044102311,8.663874639516418,1.0265065954141077
sk,5_sk_om,OM,beta,39.26906552868947,44.97259625564679,5.703530726957325
sk,5_sk_om,OM,gamma,14.114212819488072,20.212614895863474,6.098402076375402
ty,1_ty_fam,FAM,delta,33.56229137366363,35.88225277379017,2.3199614001265374
ty,1_ty_fam,FAM,theta,13.81522171382792,11.756384825090155,-2.0588368887377655
ty,1_ty_fam,FAM,alpha,9.9396497384483,9.267917481980373,-0.6717322564679264
ty,1_ty_fam,FAM,beta,33.014397226907626,33.948248664926,0.9338514380183724
ty,1_ty_fam,FAM,gamma,5.654904407972327,5.126083260640094,-0.5288211473322333
ty,2_ty_om,OM,delta,35.234196930552386,31.671487872300702,-3.5627090582516843
ty,2_ty_om,OM,theta,14.005689584947659,15.553202758804805,1.547513173857146
ty,2_ty_om,OM,alpha,10.57671714558019,11.75296570461575,1.1762485590355602
ty,2_ty_om,OM,beta,30.850827588168688,29.79873167060928,-1.0520959175594093
ty,2_ty_om,OM,gamma,4.888880277033381,7.321651617928238,2.432771340894857
ty,3_ty_mm,MM,delta,27.472449436084908,49.88939871017527,22.416949274090364
ty,3_ty_mm,MM,theta,13.153636268000422,11.074665214575504,-2.078971053424919
ty,3_ty_mm,MM,alpha,10.979033243293127,6.877339758142634,-4.101693485150493
ty,3_ty_mm,MM,beta,34.186388408245634,26.61408272561011,-7.572305682635523
ty,3_ty_mm,MM,gamma,11.917694433308084,2.934991454408281,-8.982702978899802
ty,4_ty_bsm,BSM,delta,12.998699775870236,13.162738861272942,0.16403908540270606
ty,4_ty_bsm,BSM,theta,19.425942193617217,12.142244619130565,-7.283697574486652
ty,4_ty_bsm,BSM,alpha,5.937723618519095,7.768765454916938,1.8310418363978433
ty,4_ty_bsm,BSM,beta,48.805931377049646,52.97541162870609,4.169480251656445
ty,4_ty_bsm,BSM,gamma,12.476101202085381,10.343712914440134,-2.132388287645247
ty,5_ty_lkm,LKM,delta,18.48275722547993,15.634753335525895,-2.8480038899540343
ty,5_ty_lkm,LKM,theta,13.948668763210932,21.778603158840536,7.8299343956296035
ty,5_ty_lkm,LKM,alpha,8.030253331682712,6.467291989510817,-1.5629613421718949
ty,5_ty_lkm,LKM,beta,46.02007120925366,46.89464535727622,0.8745741480225604
ty,5_ty_lkm,LKM,gamma,8.840403236296327,8.09765050513114,-0.7427527311651865
wl,1_wl_mm,MM,delta,61.31662168714056,70.81091413650601,9.494292449365453
wl,1_wl_mm,MM,theta,11.921288546960001,13.219395145691875,1.2981065987318736
wl,1_wl_mm,MM,alpha,5.00795306224362,4.967876141357441,-0.04007692088617887
wl,1_wl_mm,MM,beta,16.84943297804022,6.909190446094414,-9.940242531945806
wl,1_wl_mm,MM,gamma,2.4663870029211,1.6243785538629567,-0.8420084490581432
wl,2_wl_fam,FAM,delta,44.01870389660942,56.066601847699786,12.047897951090363
wl,2_wl_fam,FAM,theta,6.82840635879261,10.441341068309116,3.612934709516506
wl,2_wl_fam,FAM,alpha,3.8304436891261933,3.457948070696786,-0.3724956184294075
wl,2_wl_fam,FAM,beta,40.383879101388295,26.15168665657243,-14.232192444815865
wl,2_wl_fam,FAM,gamma,4.222316239903206,2.8309625093653175,-1.3913537305378885
wl,3_wl_bsm,BSM,delta,44.91120558622282,40.40787186280951,-4.503333723413313
wl,3_wl_bsm,BSM,theta,6.621399110627792,8.453727670383238,1.832328559755446
wl,3_wl_bsm,BSM,alpha,4.004867294181433,3.901979145922919,-0.102888148258514
wl,3_wl_bsm,BSM,beta,39.489594632128686,42.2188633312498,2.729268699121114
wl,3_wl_bsm,BSM,gamma,4.116442297212941,4.2645342568215385,0.1480919596085979
wl,4_wl_lkm,LKM,delta,55.450536446905666,75.67209025824005,20.22155381133438
wl,4_wl_lkm,LKM,theta,9.024608892706107,10.895798964702214,1.8711900719961072
wl,4_wl_lkm,LKM,alpha,3.8726540467191697,5.920119990218367,2.0474659434991977
wl,4_wl_lkm,LKM,beta,27.01202656628447,4.4682746092118375,-22.54375195707263
