band,n_subjects,n_meds,friedman_chi2,friedman_p,q_fdr
delta,9,5,3.822222222222223,0.4305997486896822,0.8082831359526744
theta,9,5,5.155555555555566,0.2717056677173637,0.8082831359526744
alpha,9,5,3.2888888888888914,0.5106946398359921,0.8082831359526744
beta,9,5,1.4222222222222172,0.840323637148133,0.840323637148133
gamma,9,5,2.4888888888889085,0.6466265087621396,0.8082831359526744
