meditation,band,n_subjects,mean_delta_pp,median_delta_pp,sd_delta_pp,ci95_lo,ci95_hi,wilcoxon_p,rank_biserial_r,q_fdr
BSM,delta,9,9.05329893454645,0.16403908540270606,16.965788187031134,-1.3864046404056067,19.729237712342442,0.359375,0.37777777777777777,0.7486979166666667
BSM,theta,9,-2.476634379170687,-1.6236158050774474,3.6974557716382757,-4.827081664169055,-0.3219987683027269,0.12890625,-0.6,0.46735491071428564
BSM,alpha,9,-1.6121212908753073,0.26353566807404505,5.353370378000206,-5.216400657956498,0.7953425231101955,1.0,-0.022222222222222223,1.0
BSM,beta,9,-3.8592419029127254,0.6162845454415535,11.286621935516061,-11.273655601484391,3.1406409246099187,0.42578125,-0.3333333333333333,0.8188100961538461
BSM,gamma,9,-0.8850105225448802,-1.0387876298358671,2.6287842686570877,-2.404562558540133,0.8679818539470211,0.203125,-0.5111111111111111,0.6258877840909091
FAM,delta,10,8.441900185517175,7.8992807758697055,6.69620552855956,4.727002793943087,12.53570456321293,0.00390625,0.9636363636363636,0.048828125
FAM,theta,10,0.12201781299418527,0.6089266203832002,3.296983284832834,-1.9687395441665259,1.8888171362796027,0.625,0.2,0.9191176470588235
FAM,alpha,10,-1.058138925098704,-0.9884726944234878,1.9554831584435937,-2.382084632550124,-0.06523967219566562,0.10546875,-0.6,0.46735491071428564
FAM,beta,10,-4.893897836971275,-7.121760610395414,7.772664019321967,-9.269980940317852,-0.4430824006134727,0.064453125,-0.6727272727272727,0.46735491071428564
FAM,gamma,10,-2.7357430385828474,-1.5675674361108327,3.451617844771436,-4.733420330040795,-0.9898564596669955,0.001953125,-1.0,0.048828125
LKM,delta,10,4.766469688295478,2.8622089812807037,12.843485009197863,-2.3627043754635157,12.16008816665689,0.232421875,0.45454545454545453,0.6258877840909091
LKM,theta,10,0.38786238558678665,0.9080293504010122,3.7659314720773143,-1.8505503947425708,2.571634530103995,0.6953125,0.16363636363636364,0.9610262784090909
LKM,alpha,10,0.7594305417469501,-0.07780099013173425,2.0686488312929017,-0.37251676959268226,2.0452809953695117,0.4921875,0.2727272727272727,0.8697509765625
LKM,beta,10,-4.701890276339154,-3.273221764564406,11.33211014548864,-11.526198836944552,1.5399679694793518,0.275390625,-0.41818181818181815,0.6258877840909091
LKM,gamma,10,-1.2432255065701727,-1.0083208437400983,2.0162485843892237,-2.3559052033715706,-0.050058172967928194,0.083984375,-0.6363636363636364,0.46735491071428564
MM,delta,10,1.8341900825552973,1.2589016367555068,12.253401168719886,-5.785631988990047,9.197959264034955,0.556640625,0.23636363636363636,0.8697509765625
MM,theta,10,0.8680541568464324,1.3831212088771903,3.3000810933973375,-0.9704734405557083,2.896841863009403,0.556640625,0.23636363636363636,0.8697509765625
MM,alpha,10,-0.8908873959476304,0.3833284807949786,3.485254058568341,-3.2422190198082315,1.0041383081698638,0.845703125,-0.09090909090909091,0.9610262784090909
MM,beta,10,0.4493837313086974,-0.5054995442602142,8.084073542554478,-3.916100082543493,5.597982151227363,0.845703125,-0.09090909090909091,0.9610262784090909
MM,gamma,10,-2.514895947240508,-0.6043709893417065,4.814746489543294,-5.4870624269724715,0.20352142435075185,0.130859375,-0.5636363636363636,0.46735491071428564
OM,delta,10,-0.14062288575459475,0.5044535818612346,9.822179904897538,-6.443366555002505,5.4495160504365305,0.921875,0.05454545454545454,1.0
OM,theta,10,0.1861704213318509,0.8834754958413775,1.8038976815529197,-0.877913438245147,1.3050755112590857,1.0,-0.01818181818181818,1.0
OM,alpha,10,0.7393347205598163,0.4005622536087263,2.0227253727732686,-0.3882626560644977,2.0467998844256243,0.275390625,0.41818181818181815,0.6258877840909091
OM,beta,10,-0.1706077405403695,1.2914667759787903,7.0335700563434935,-4.729044245887641,3.6412642857512076,0.845703125,0.09090909090909091,0.9610262784090909
OM,gamma,10,-0.9212936754099378,-0.48288439822269247,5.6198391079947605,-4.556602348816006,1.9705382942149379,0.76953125,-0.12727272727272726,0.9610262784090909
