band,n_subjects,mean,sd,median,p10,p25,p75,p90,min,max
delta,10,34.89142017444773,10.823769825959662,31.766232980146082,25.04093052671533,26.046356662950434,43.7847091750428,50.19445348111954,23.629169589373724,52.04498393655348
theta,10,12.498747589676254,3.040114697586188,11.24636501524731,9.494232794027408,9.988758672964341,15.252541260168602,15.945011952068052,8.880650252022757,17.322096980152686
alpha,10,9.460152523490041,6.694207523913082,8.060011174766569,5.223714955303108,6.622196303813581,8.841091509129843,10.980007424400961,4.4001069439089715,27.965995504467525
beta,10,32.78852708613473,11.075438164303776,36.962565805991815,17.880552548723145,22.203158203381832,40.910909569177655,44.47162466173396,17.368102537932128,45.29843263150296
gamma,10,7.728719212922895,5.5523195622279795,5.536754970818005,3.5673005120120305,3.9933944638423813,8.568529894189496,15.34069677716069,2.818484707407067,19.916409043946608
