subject,file,delta_rel,theta_rel,alpha_rel,beta_rel,gamma_rel
al,1_al_lkm_pre.csv,46.21384999423416,16.24543396948035,7.3557339726986335,22.758069376949194,3.825091836584582
al,2_al_mm_pre.csv,41.5085914086785,13.757732173755247,6.349077908023314,31.993277413449754,3.5301621071823557
al,3_al_fam_pre.csv,50.31451422095448,18.66910958798322,10.577077322343282,13.106720735405375,1.9177548055847846
al,4_al_bsm_pre.csv,49.562338956464764,19.801639699176654,9.137915392868349,13.480722724167503,3.25102174449101
al,5_al_om_pre.csv,62.34490035002473,18.136569470367956,6.173568543159048,8.348666944083345,1.5683930431926008
cc,1_chermine_cheah_fam_pre.csv,48.086170444256304,7.043789633198276,4.293998812974995,34.8540627507564,4.581567272125235
cc,2_chermine_cheah_om_pre.csv,36.58655435306293,7.645509711514563,5.556601461886646,43.45698937272223,6.316313266998472
cc,3_chermine_cheah_bsm_pre.csv,21.36341092796106,11.651472458067504,6.322757692458177,51.43425856235549,7.64738314795004
cc,4_chermine_cheah_lkm_pre.csv,22.227911048037825,14.631464701164655,6.237245001141277,49.321376777760264,6.735770137724679
cc,5_chermine_cheah_mm_pre.csv,40.15634245586101,7.196238523558156,4.165531814384527,42.83209808409264,5.470838409963365
qy,1_qy_om_pre.csv,43.989853040658176,15.426083067921535,7.655071367169877,24.92975391491092,4.209194151323289
qy,2_qy_bsm_pre.csv,49.00631865878929,16.66395813342579,9.310108078876599,17.61252414053516,2.855445028404597
qy,3_qy_fam_pre.csv,44.992864853650886,15.565285493069325,8.794785489041853,22.13630661698931,4.465519077189196
qy,4_qy_mm_pre.csv,38.94055508043388,15.959906597208894,10.21141771098216,27.291333148840796,3.4752078952348753
qy,5_qy_lkm_pre.csv,57.32829595699909,15.344779230889928,8.214408709276945,11.959800244752923,3.2471451882442866
rt,1_rt_lkm_pre.csv,30.524609136223216,13.690610900740825,9.084017496862757,36.31160065884683,6.5713719863902105
rt,2_rt_fam_pre.csv,28.034641468855327,8.949568094093026,6.163989365071705,48.49403792479411,6.9574092649297725
rt,3_rt_om_pre.csv,30.702481233421683,7.404026350708904,4.822062911221281,46.93756896506158,9.069368153076224
rt,4_rt_mm_pre.csv,32.52642640730731,7.2799386610452395,4.719432934035442,45.22838003603864,8.731492345672516
rt,5_rt_bsm_pre.csv,15.887790788247905,17.945604370189344,6.362617317534193,49.52057557277366,8.707005463634694
sk,2_sk_bsm_pre.csv,31.993989095762615,12.440073273616063,10.91693286024985,28.543214194821335,11.74640259633859
